lat,lon
-23.5633723,-46.6782804
-23.5455333,-46.5663888
-23.5457536,-46.5663459
-23.5456671,-46.566097
-23.5454466,-46.56614
-23.5273007,-46.5769501
-23.5569597,-46.750093
-23.5373131,-46.6843487
-23.535308,-46.6882476
-23.5528955,-46.5647469
-23.552211,-46.5645495
-23.5508642,-46.6967618
-23.5657001,-46.6834399
-23.5270296,-46.6806689
-23.6525319,-46.7337329
-23.6313559,-46.7057252
-23.5135921,-46.6546907
-23.5252608,-46.5467876
-23.5705674,-46.7060178
-23.5520829,-46.6383065
-23.5522952,-46.6380059
-23.555258,-46.6351745
-23.5530529,-46.6349356
-23.5526102,-46.634712
-23.5428079,-46.6391582
-23.5472396,-46.5738229
-23.5630465,-46.6708263
-23.5524717,-46.6275473
-23.5525049,-46.6275166
-23.5524103,-46.6275785
-23.5937983,-46.6778126
-23.5592263,-46.6891582
-23.5369328,-46.65159
-23.5394139,-46.6502864
-23.6026846,-46.6937609
-23.6075795,-46.6931384
-23.6241305,-46.679635
-23.5579392,-46.663391
-23.5567439,-46.6301628
-23.5597761,-46.6310636
-23.5402673,-46.6506528
-23.5438102,-46.5575259
-23.5566344,-46.6760952
-23.5403697,-46.5949969
-23.6013061,-46.6439567
-23.5982878,-46.6425464
-23.6021811,-46.6418185
-23.6038622,-46.6421897
-23.603854,-46.6442837
-23.6033707,-46.6443752
-23.6040723,-46.6445172
-23.6015715,-46.6440351
-23.5967934,-46.6423796
-23.5970589,-46.6445254
-23.5988282,-46.6441714
-23.597645,-46.6424628
-23.598509,-46.6425751
-23.573439,-46.6422711
-23.5498087,-46.683097
-23.5503074,-46.6896958
-23.5476092,-46.6891653
-23.5483583,-46.6325764
-23.5571585,-46.6755567
-23.4885123,-46.749261
-23.4894678,-46.7299148
-23.5543387,-46.6763723
-23.5327518,-46.7274374
-23.5534694,-46.6857999
-23.5314267,-46.669153
-23.530971,-46.6707284
-23.5372244,-46.6782558
-23.5530479,-46.6883078
-23.5553763,-46.6880427
-23.5581626,-46.6885148
-23.5533916,-46.6884007
-23.5539938,-46.6887695
-23.5531822,-46.6901237
-23.5523057,-46.6901706
-23.5508777,-46.6901345
-23.5882375,-46.6305984
